Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5005,282,270,280,309,686,265,1338,0.000%,14.86681,3.30,2.76
TOTAL,5005,282,270,280,309,686,265,1338,0.000%,14.86681,3.30,2.76
